user_id,age,income,account_balance,credit_score,num_transactions,avg_transaction_value,spending_category,risk_profile,income_to_balance_ratio,transaction_frequency,spending_efficiency,financial_health_score,age_income_interaction,high_risk_spending,conservative_profile,target_action
U0036,26,70110.27,260765.7,621,66,13354.16,health,high,0.2689,2.2,2.2857,2.5239,18.2287,0,0,pay_debt
U0037,54,96872.67,929018.33,374,7,22968.45,groceries,low,0.1043,0.23,2.8452,5.9301,52.3112,0,1,invest_more
U0038,41,50499.32,265200.41,657,22,43975.59,entertainment,low,0.1904,0.73,10.4498,3.4601,20.7047,1,1,pay_debt
U0039,53,168411.54,703539.93,841,7,33426.37,entertainment,high,0.2394,0.23,2.3818,2.9023,89.2581,1,0,invest_more
U0040,65,29681.44,878126.96,570,34,44496.66,education,low,0.0338,1.13,17.9897,18.0193,19.2929,0,1,pay_debt
U0041,34,63533.69,210629.65,651,57,34406.11,education,medium,0.3016,1.9,6.4985,2.2955,21.6015,0,0,pay_debt
U0042,20,182013.93,846103.71,394,113,41484.47,groceries,medium,0.2151,3.77,2.735,2.9746,36.4028,0,0,invest_more
U0043,53,156512.65,637113.38,568,46,37087.42,health,medium,0.2457,1.53,2.8435,2.7097,82.9517,0,0,invest_more
U0044,41,116572.3,111873.88,452,144,1897.8,education,high,1.042,4.8,0.1954,0.7885,47.7946,0,0,invest_more
U0045,68,38137.82,127445.52,615,98,44959.18,groceries,medium,0.2992,3.27,14.1463,2.2944,25.9337,0,0,stop_spending
U0046,44,49914.54,249529.74,405,95,39027.8,education,high,0.2,3.17,9.3827,3.1901,21.9624,0,0,stop_spending
U0047,19,39365.13,929881.02,466,50,44082.67,travel,high,0.0423,1.67,13.4381,14.3925,7.4794,1,0,pay_debt
U0048,62,158653.43,411713.17,554,73,8043.97,groceries,medium,0.3853,2.43,0.6084,1.8177,98.3651,0,0,invest_more
U0049,47,175711.69,858593.25,527,56,40847.67,entertainment,medium,0.2047,1.87,2.7896,3.1798,82.5845,1,0,invest_more
U0050,43,165901.91,871323.04,528,11,33035.66,entertainment,medium,0.1904,0.37,2.3895,3.3997,71.3378,1,0,invest_more
U0051,43,174227.06,966889.1,585,94,32109.94,health,high,0.1802,3.13,2.2116,3.605,74.9176,0,0,invest_more
U0052,34,72918.47,27600.54,567,50,29071.43,groceries,low,2.6418,1.67,4.7842,0.4939,24.7923,0,1,invest_more
U0053,50,92567.11,728545.06,621,116,30349.82,groceries,medium,0.1271,3.87,3.9344,5.0145,46.2836,0,0,stop_spending
U0054,69,180905.9,190078.77,345,116,184.39,education,high,0.9517,3.87,0.0122,0.7928,124.8251,0,0,invest_more
U0055,60,146691.7,741950.08,501,98,21621.74,entertainment,high,0.1977,3.27,1.7687,3.2705,88.015,1,0,invest_more
U0056,44,69643.97,848015.28,607,134,15533.3,entertainment,medium,0.0821,4.47,2.6765,7.5915,30.6433,1,0,invest_more
U0057,29,66174.49,127287.8,730,102,33898.17,education,high,0.5199,3.4,6.1471,1.4976,19.1906,0,0,stop_spending
U0058,45,67180.48,547937.21,300,82,14416.99,education,high,0.1226,2.73,2.5752,5.0349,30.2312,0,0,invest_more
U0059,68,71227.35,441786.02,518,135,23711.99,health,low,0.1612,4.5,3.9949,3.9653,48.4346,0,1,stop_spending
U0060,66,135181.64,283786.4,643,28,40939.33,travel,high,0.4763,0.93,3.6342,1.5622,89.2199,1,0,invest_more
U0061,48,68979.7,806562.89,450,11,2406.06,education,low,0.0855,0.37,0.4186,7.2274,33.1103,0,1,pay_debt
U0062,33,88743.79,629765.38,499,103,24769.42,travel,high,0.1409,3.43,3.3493,4.4927,29.2855,1,0,stop_spending
U0063,69,140648.26,892659.83,409,113,11020.17,health,high,0.1576,3.77,0.9402,4.0005,97.0473,0,0,invest_more
U0064,47,98264.48,557405.79,424,121,6753.62,health,high,0.1763,4.03,0.8247,3.603,46.1843,0,0,invest_more
U0065,53,123135.94,950039.61,753,134,21394.36,utilities,low,0.1296,4.47,2.085,4.9836,65.262,0,1,invest_more
U0066,35,151294.53,474674.44,565,68,42009.16,education,medium,0.3187,2.27,3.332,2.1483,52.9531,0,0,invest_more
U0067,39,129082.2,274597.45,379,78,11801.23,entertainment,high,0.4701,2.6,1.0971,1.4547,50.3421,1,0,invest_more
U0068,22,25309.75,150830.66,692,44,35350.32,utilities,medium,0.1678,1.47,16.7605,3.9013,5.5681,0,0,pay_debt
U0069,67,113096.12,415774.23,511,112,19534.89,education,high,0.272,3.73,2.0727,2.4462,75.7744,0,0,invest_more
U0070,40,13711.07,880656.67,689,127,394.21,entertainment,medium,0.0156,4.23,0.345,38.862,5.4844,1,0,pay_debt
U0071,45,112261.91,734634.06,525,129,11049.14,utilities,low,0.1528,4.3,1.1811,4.1734,50.5179,0,1,invest_more
U0072,26,83882.87,668873.62,714,47,42041.23,education,high,0.1254,1.57,6.0143,5.1203,21.8095,0,0,save_money
U0073,26,182316.48,591892.78,327,26,32173.21,utilities,low,0.308,0.87,2.1176,2.1018,47.4023,0,1,save_money
U0074,66,19554.08,379103.86,516,121,16409.61,utilities,medium,0.0516,4.03,10.0703,11.8753,12.9057,0,0,pay_debt
U0075,40,57931.59,81906.23,319,143,2699.07,travel,high,0.7073,4.77,0.5591,0.9984,23.1726,1,0,save_money
U0076,19,158434.28,651754.66,331,68,10048.1,education,low,0.2431,2.27,0.7611,2.624,30.1025,0,1,save_money
U0077,47,55323.54,473561.06,417,149,47393.08,health,medium,0.1168,4.97,10.2798,5.3321,26.0021,0,0,stop_spending
U0078,24,155710.64,167789.14,417,46,48239.57,education,low,0.928,1.53,3.7176,0.8428,37.3706,0,1,save_money
U0079,30,186488.56,575796.73,684,106,47079.38,groceries,high,0.3239,3.53,3.0294,2.1744,55.9466,0,0,invest_more
U0080,56,141216.74,627242.4,404,82,42529.63,groceries,high,0.2251,2.73,3.614,2.8551,79.0814,0,0,invest_more
U0081,59,158700.72,347203.77,738,99,3540.94,entertainment,low,0.4571,3.3,0.2677,1.66,93.6334,1,1,save_money
U0082,58,171419.37,822330.92,408,115,48043.3,utilities,high,0.2085,3.83,3.3632,3.0703,99.4232,0,0,invest_more
U0083,52,39068.32,176136.96,834,74,30834.03,utilities,medium,0.2218,2.47,9.4708,3.0975,20.3155,0,0,stop_spending
U0084,23,92759.15,731026.21,574,87,42600.49,entertainment,medium,0.1269,2.9,5.5111,4.9987,21.3346,1,0,stop_spending
U0085,38,56334.05,464708.47,688,91,1532.13,travel,medium,0.1212,3.03,0.3264,5.2733,21.4069,1,0,save_money
U0086,51,77416.74,258352.41,586,75,27833.97,travel,low,0.2997,2.5,4.3144,2.2781,39.4825,1,1,stop_spending
U0087,49,55857.65,406428.12,546,126,32330.55,utilities,low,0.1374,4.2,6.9456,4.6226,27.3702,0,1,stop_spending
U0088,41,27680.14,221596.4,549,83,33231.61,utilities,high,0.1249,2.77,14.4067,5.0617,11.3489,0,0,stop_spending
U0089,35,110875.17,425503.81,638,95,35172.46,entertainment,medium,0.2606,3.17,3.8067,2.6028,38.8063,1,0,invest_more
U0090,66,53802.23,721284.33,623,35,37169.77,health,low,0.0746,1.17,8.2903,8.3369,35.5095,0,1,save_money
U0091,30,51113.08,484198.59,837,77,49027.48,entertainment,low,0.1056,2.57,11.5104,6.0777,15.3339,1,1,stop_spending
U0092,21,78567.4,302267.59,846,37,13788.14,education,medium,0.2599,1.23,2.1059,2.7065,16.4992,0,0,invest_more
U0093,54,189377.03,637869.66,802,31,43648.71,entertainment,medium,0.2969,1.03,2.7658,2.3984,102.2636,1,0,invest_more
U0094,48,100955.7,340705.93,352,69,47059.07,groceries,low,0.2963,2.3,5.5936,2.1905,48.4587,0,1,invest_more
U0095,54,86134.41,74082.17,354,43,7544.96,entertainment,low,1.1627,1.43,1.0511,0.6826,46.5126,1,1,save_money
U0096,46,32505.8,764443.45,531,138,19080.86,entertainment,high,0.0425,4.6,7.044,14.3602,14.9527,1,0,pay_debt
U0097,34,68022.25,621027.32,401,58,31313.2,health,low,0.1095,1.93,5.5241,5.6666,23.1276,0,1,save_money
U0098,62,55574.38,551992.25,460,5,20485.03,education,medium,0.1007,0.17,4.4233,6.176,34.4561,0,0,pay_debt
U0099,32,16201.57,288104.89,589,121,3651.87,entertainment,high,0.0562,4.03,2.7048,10.9467,5.1845,1,0,invest_more
U0100,59,135624.78,933668.46,735,34,27273.66,travel,medium,0.1453,1.13,2.4132,4.4764,80.0186,1,0,invest_more
U0101,70,167059.92,71409.84,469,83,29792.7,education,medium,2.3394,2.77,2.14,0.4772,116.9419,0,0,invest_more
U0102,50,93439.16,468697.97,611,108,47139.54,education,medium,0.1994,3.6,6.0539,3.2972,46.7196,0,0,stop_spending
U0103,19,93174.18,598036.66,742,87,30225.31,groceries,low,0.1558,2.9,3.8927,4.2003,17.7031,0,1,stop_spending
U0104,66,192763.11,835958.61,321,73,28854.72,travel,medium,0.2306,2.43,1.7963,2.7531,127.2237,1,0,invest_more
U0105,45,108603.13,442229.4,584,51,49847.58,health,medium,0.2456,1.7,5.5079,2.718,48.8714,0,0,invest_more
U0106,24,194120.49,470010.39,718,90,16120.81,travel,medium,0.413,3.0,0.9965,1.7906,46.5889,1,0,invest_more
U0107,23,88212.57,495469.02,710,145,1931.19,entertainment,medium,0.178,4.83,0.2627,3.7042,20.2889,1,0,pay_debt
U0108,52,32025.1,772547.93,826,5,32917.25,utilities,medium,0.0415,0.17,12.3343,14.8626,16.6531,0,0,save_money
U0109,31,45640.68,361779.36,810,118,38023.53,entertainment,high,0.1262,3.93,9.9973,5.1372,14.1486,1,0,stop_spending
U0110,58,34892.51,288029.14,796,36,1540.59,education,low,0.1211,1.2,0.5298,5.3274,20.2377,0,1,invest_more
U0111,25,40091.85,550839.01,717,28,11312.56,utilities,low,0.0728,0.93,3.386,8.5811,10.023,0,1,invest_more
U0112,44,168107.2,498375.5,598,135,35300.04,utilities,medium,0.3373,4.5,2.5198,2.0602,73.9672,0,0,invest_more
U0113,50,56308.87,551265.08,692,53,46101.22,health,low,0.1021,1.77,9.8246,6.1997,28.1544,0,1,save_money
U0114,50,62487.01,790006.18,724,92,46718.99,entertainment,low,0.0791,3.07,8.9719,7.9263,31.2435,1,1,stop_spending
U0115,48,63739.41,298555.85,801,43,22382.71,entertainment,medium,0.2135,1.43,4.2139,3.1873,30.5949,1,0,invest_more
U0116,33,154945.81,377210.05,629,53,49040.65,education,medium,0.4108,1.77,3.798,1.7567,51.1321,0,0,invest_more
U0117,63,54376.86,775544.48,344,86,37260.79,utilities,medium,0.0701,2.87,8.2228,8.7193,34.2574,0,0,stop_spending
U0118,26,197798.66,792393.66,455,131,48244.74,education,high,0.2496,4.37,2.9269,2.6178,51.4277,0,0,invest_more
U0119,47,73078.99,100364.6,750,30,26344.96,groceries,high,0.7281,1.0,4.326,1.177,34.3471,0,0,save_money
U0120,34,87895.94,654781.33,458,24,23527.58,entertainment,high,0.1342,0.8,3.2121,4.6852,29.8846,1,0,invest_more
U0121,38,85521.83,80315.32,636,141,19062.47,health,high,1.0648,4.7,2.6748,0.8628,32.4983,0,0,pay_debt
U0122,36,175752.77,35899.1,370,65,31594.93,travel,high,4.8956,2.17,2.1572,0.2967,63.271,1,0,stop_spending
U0123,37,27172.07,978337.73,402,118,8401.6,groceries,low,0.0278,3.93,3.7104,21.7923,10.0537,0,1,pay_debt
U0124,51,161267.26,293367.78,683,115,7363.93,utilities,high,0.5497,3.83,0.548,1.4129,82.2463,0,0,invest_more
U0125,42,139542.07,180056.89,479,25,30513.64,education,high,0.775,0.83,2.624,0.9996,58.6077,0,0,invest_more
U0126,34,55757.66,912829.02,446,64,23111.38,utilities,medium,0.0611,2.13,4.974,10.0327,18.9576,0,0,stop_spending
U0127,28,136699.74,898908.53,776,78,33912.78,groceries,medium,0.1521,2.6,2.977,4.3106,38.2759,0,0,invest_more
U0128,47,189594.77,987651.7,606,113,34546.64,entertainment,low,0.192,3.77,2.1866,3.4107,89.1095,1,1,save_money
U0129,40,199880.98,853335.46,409,65,19130.08,education,medium,0.2342,2.17,1.1485,2.754,79.9524,0,0,invest_more
U0130,61,198611.49,295230.75,705,75,504.09,health,low,0.6727,2.5,0.0305,1.2236,121.153,0,1,save_money
U0131,40,183017.22,745172.15,593,63,30392.54,travel,high,0.2456,2.1,1.9928,2.722,73.2069,1,0,invest_more
U0132,59,46125.08,250626.8,440,29,45179.84,groceries,medium,0.184,0.97,11.7541,3.4672,27.2138,0,0,pay_debt
U0133,38,16339.26,364861.23,434,28,45490.43,health,medium,0.0448,0.93,33.4094,13.6024,6.2089,0,0,save_money
U0134,35,48151.01,786512.81,674,140,25139.56,travel,medium,0.0612,4.67,6.2652,10.1178,16.8529,1,0,stop_spending
U0135,47,183669.3,944187.82,602,91,40231.2,groceries,low,0.1945,3.03,2.6285,3.3677,86.3246,0,1,save_money
U0136,68,153288.78,225614.7,706,147,18352.17,utilities,low,0.6794,4.9,1.4367,1.2153,104.2364,0,1,save_money
U0137,70,60247.13,123588.74,677,72,29269.55,health,medium,0.4875,2.4,5.8299,1.5494,42.173,0,0,stop_spending
U0138,57,30585.76,233821.9,325,148,16467.51,travel,high,0.1308,4.93,6.4609,4.7398,17.4339,1,0,save_money
U0139,20,130726.75,464267.54,609,109,5922.13,groceries,medium,0.2816,3.63,0.5436,2.4174,26.1454,0,0,invest_more
U0140,47,199226.2,116120.48,540,142,6869.64,entertainment,high,1.7157,4.73,0.4138,0.6038,93.6363,1,0,invest_more
U0141,59,190382.35,696483.99,729,44,44282.15,groceries,medium,0.2733,1.47,2.7912,2.5381,112.3256,0,0,invest_more
U0142,31,126973.92,939053.07,586,13,34545.01,utilities,medium,0.1352,0.43,3.2648,4.7131,39.3619,0,0,invest_more
U0143,59,190605.48,855450.19,401,99,27268.85,entertainment,low,0.2228,3.3,1.7168,2.8815,112.4572,1,1,save_money
U0144,31,85646.53,189808.56,425,121,4674.5,health,high,0.4512,4.03,0.6549,1.5297,26.5504,0,0,invest_more
U0145,68,194507.73,50578.51,641,67,49442.16,education,low,3.8456,2.23,3.0503,0.4577,132.2653,0,1,save_money
U0146,32,23035.93,765157.38,512,60,40671.34,entertainment,low,0.0301,2.0,21.1867,20.1704,7.3715,1,1,invest_more
U0147,69,10538.75,858406.13,448,38,27056.75,travel,low,0.0123,1.27,30.8083,49.0822,7.2717,1,1,invest_more
U0148,19,174625.1,131803.23,666,65,29483.76,travel,medium,1.3249,2.17,2.0261,0.7663,33.1788,1,0,invest_more
U0149,48,19955.81,741718.06,838,34,37308.7,utilities,medium,0.0269,1.13,22.4348,22.6952,9.5788,0,0,invest_more
U0150,60,122796.54,452005.42,526,16,36389.43,education,medium,0.2717,0.53,3.5561,2.4561,73.6779,0,0,invest_more
U0151,45,97028.08,964026.18,362,127,42380.2,health,low,0.1006,4.23,5.2414,6.1317,43.6626,0,1,stop_spending
U0152,27,103151.08,909700.83,375,25,16173.38,groceries,low,0.1134,0.83,1.8815,5.4679,27.8508,0,1,invest_more
U0153,51,62253.04,633076.72,632,102,49731.93,entertainment,medium,0.0983,3.4,9.5864,6.3991,31.7491,1,0,stop_spending
U0154,31,106054.7,430199.33,417,146,36069.91,utilities,medium,0.2465,4.87,4.0813,2.6301,32.877,0,0,invest_more
U0155,24,178737.29,413813.57,764,107,20857.88,entertainment,medium,0.4319,3.57,1.4003,1.7487,42.8969,1,0,invest_more
U0156,23,69379.48,254889.8,456,126,3449.95,groceries,medium,0.2722,4.2,0.5967,2.4189,15.9573,0,0,save_money
U0157,53,151471.9,372646.86,433,147,3093.05,education,medium,0.4065,4.9,0.245,1.6799,80.2801,0,0,invest_more
U0158,56,137302.52,410808.63,733,18,48423.09,entertainment,medium,0.3342,0.6,4.2321,2.1401,76.8894,1,0,invest_more
U0159,24,29684.11,507412.55,458,128,11289.82,entertainment,high,0.0585,4.27,4.564,10.4718,7.1242,1,0,pay_debt
U0160,67,31828.21,278568.21,531,114,42273.24,education,high,0.1143,3.8,15.938,5.5012,21.3249,0,0,stop_spending
U0161,62,138245.58,556739.76,573,12,9102.76,entertainment,medium,0.2483,0.4,0.7901,2.686,85.7123,1,0,invest_more
U0162,22,76694.45,181405.56,446,149,32901.5,travel,high,0.4228,4.97,5.1479,1.6291,16.8728,1,0,stop_spending
U0163,47,130302.68,30657.1,843,60,18872.1,entertainment,low,4.2502,2.0,1.738,0.5379,61.2423,1,1,pay_debt
U0164,66,69211.1,324382.89,386,18,7863.44,education,low,0.2134,0.6,1.3634,2.9938,45.6793,0,1,invest_more
U0165,44,25500.49,443112.97,734,129,30393.09,entertainment,low,0.0575,4.3,14.3024,10.7714,11.2202,1,1,stop_spending
U0166,61,153439.2,113817.51,740,33,14234.0,education,medium,1.3481,1.1,1.1132,0.7933,93.5979,0,0,invest_more
U0167,21,110117.48,308419.39,525,106,49223.84,groceries,low,0.357,3.53,5.3641,1.9276,23.1247,0,1,invest_more
U0168,25,67269.68,211233.98,440,70,14543.41,groceries,medium,0.3185,2.33,2.5943,2.0911,16.8174,0,0,invest_more
U0169,60,91824.45,129185.7,845,63,25063.09,entertainment,low,0.7108,2.1,3.2753,1.2418,55.0947,1,1,stop_spending
U0170,22,85443.52,742041.33,746,9,23041.74,entertainment,high,0.1151,0.3,3.2361,5.5618,18.7976,1,0,pay_debt
U0171,19,118945.94,709498.96,727,79,5847.15,entertainment,low,0.1676,2.63,0.5899,3.921,22.5997,1,1,invest_more
U0172,24,162251.21,618125.26,670,27,21891.92,travel,medium,0.2625,0.9,1.6191,2.6011,38.9403,1,0,invest_more
U0173,32,121885.54,523962.54,705,84,37315.66,entertainment,low,0.2326,2.8,3.6738,2.911,39.0034,1,1,invest_more
U0174,67,24512.08,633224.67,843,135,9775.79,entertainment,medium,0.0387,4.5,4.7858,15.8966,16.4231,1,0,invest_more
U0175,34,192062.44,645442.98,451,65,5229.95,travel,low,0.2976,2.17,0.3268,2.2286,65.3012,1,1,save_money
U0176,58,124455.81,760215.3,377,50,47569.48,utilities,medium,0.1637,1.67,4.5866,3.8424,72.1844,0,0,invest_more
U0177,57,153344.71,759877.15,759,149,32185.29,entertainment,high,0.2018,4.97,2.5187,3.3304,87.4065,1,0,invest_more
U0178,68,70066.39,439762.82,780,118,31606.12,entertainment,high,0.1593,3.93,5.4131,4.1329,47.6451,1,0,stop_spending
U0179,21,20672.7,507336.89,617,123,22650.5,entertainment,medium,0.0407,4.1,13.1481,15.0152,4.3413,1,0,stop_spending
U0180,55,24578.89,864250.03,392,134,19285.68,education,high,0.0284,4.47,9.4157,21.2818,13.5184,0,0,save_money
U0181,50,95449.4,809815.92,492,87,30289.79,travel,low,0.1179,2.9,3.8081,5.3221,47.7247,1,1,stop_spending
U0182,29,95599.39,810966.81,651,26,25277.0,groceries,low,0.1179,0.87,3.1729,5.3961,27.7238,0,1,invest_more
U0183,36,93174.07,439421.79,835,45,18258.51,utilities,medium,0.212,1.5,2.3515,3.2226,33.5427,0,0,pay_debt
U0184,53,138990.57,52365.52,642,21,16551.57,health,medium,2.6542,0.7,1.429,0.5282,73.665,0,0,invest_more
U0185,60,63987.93,723733.66,453,90,4166.95,travel,medium,0.0884,3.0,0.7815,6.9995,38.3928,1,0,pay_debt
U0186,23,193862.34,698479.96,701,38,29792.56,entertainment,high,0.2775,1.27,1.8441,2.4917,44.5883,1,0,invest_more
U0187,60,81569.07,791661.96,430,139,4763.3,utilities,high,0.103,4.63,0.7008,6.0256,48.9414,0,0,pay_debt
U0188,49,13463.8,308866.07,519,92,47388.65,travel,low,0.0436,3.07,42.2365,14.0085,6.5973,1,1,stop_spending
U0189,52,199995.56,154945.17,602,30,25433.72,health,high,1.2907,1.0,1.5261,0.7481,103.9977,0,0,invest_more
U0190,29,17172.02,336764.37,434,101,7797.21,health,high,0.051,3.37,5.4488,11.971,4.9799,0,0,save_money
U0191,57,147024.77,43692.43,673,65,48482.47,entertainment,high,3.3649,2.17,3.9571,0.495,83.8041,1,0,stop_spending
U0192,68,158922.07,234002.94,544,84,48283.27,utilities,low,0.6791,2.8,3.6458,1.1395,108.067,0,1,save_money
U0193,67,79889.78,947130.17,751,123,38494.98,utilities,high,0.0843,4.1,5.7822,7.4667,53.5262,0,0,stop_spending
U0194,21,110217.36,966268.15,504,40,43662.8,health,medium,0.1141,1.33,4.7538,5.4973,23.1456,0,0,invest_more
U0195,36,176082.22,554540.75,405,137,42573.19,groceries,low,0.3175,4.57,2.9014,2.0802,63.3896,0,1,save_money
U0196,32,61830.35,905306.21,450,116,4676.51,utilities,medium,0.0683,3.87,0.9076,8.9968,19.7857,0,0,save_money
U0197,23,88830.41,396453.97,682,65,19369.69,entertainment,low,0.2241,2.17,2.6166,2.9988,20.431,1,1,save_money
U0198,36,70550.13,99083.12,643,42,6966.22,utilities,high,0.712,1.4,1.1849,1.1452,25.398,0,0,save_money
U0199,31,154179.82,469110.13,305,25,1048.29,travel,high,0.3287,0.83,0.0816,1.9691,47.7957,1,0,invest_more
U0200,33,188642.93,608880.1,733,33,38831.01,entertainment,low,0.3098,1.1,2.4701,2.2816,62.2522,1,1,save_money
U0201,49,19072.39,419825.54,768,21,5631.81,education,high,0.0454,0.7,3.5434,13.5687,9.3455,0,0,save_money
U0202,57,130071.44,575047.46,447,79,21519.02,entertainment,low,0.2262,2.63,1.9853,2.863,74.1407,1,1,invest_more
U0203,22,118426.11,187313.91,387,139,48735.26,education,high,0.6322,4.63,4.9383,1.1311,26.0537,0,0,invest_more
U0204,20,106392.26,988331.49,320,104,43679.24,health,medium,0.1076,3.47,4.9266,5.7243,21.2785,0,0,invest_more
U0205,40,196397.49,253650.26,316,96,39447.15,travel,high,0.7743,3.2,2.4102,0.9236,78.559,1,0,invest_more
U0206,52,134849.84,103663.87,640,39,2312.35,entertainment,high,1.3008,1.3,0.2058,0.7624,70.1219,1,0,invest_more
U0207,69,43266.93,779142.59,775,127,31623.62,travel,low,0.0555,4.23,8.7708,11.1694,29.8542,1,1,stop_spending
U0208,68,146048.56,943605.15,337,80,10159.39,travel,low,0.1548,2.67,0.8347,4.0351,99.313,1,1,invest_more
U0209,20,69963.21,310075.88,707,144,23722.65,health,low,0.2256,4.8,4.0689,2.9919,13.9926,0,1,stop_spending
U0210,69,64361.07,862138.53,348,89,13733.51,entertainment,medium,0.0747,2.97,2.5606,8.201,44.4091,1,0,pay_debt
U0211,49,151228.46,894637.49,695,91,48688.81,health,medium,0.169,3.03,3.8635,3.8765,74.1019,0,0,invest_more
U0212,23,79795.92,797290.88,573,26,36381.36,utilities,high,0.1001,0.87,5.4712,6.2646,18.3531,0,0,save_money
U0213,37,113640.14,321211.43,381,88,33079.87,utilities,high,0.3538,2.93,3.4931,1.8752,42.0469,0,0,invest_more
U0214,64,146355.95,166644.77,754,94,22411.77,entertainment,high,0.8782,3.13,1.8376,1.038,93.6678,1,0,invest_more
U0215,43,199648.61,274555.36,358,24,33592.08,entertainment,high,0.7272,0.8,2.0191,0.9936,85.8489,1,0,invest_more
U0216,61,162208.24,679410.61,331,41,42448.6,utilities,low,0.2387,1.37,3.1403,2.6689,98.947,0,1,save_money
